START,REBOOT_DUR,REBOOT_END,l1_launch,get_offsets,create_base,save_nvmcs,inspect_l2,recalc_offsets,replace_cpu,hypercall,update_eptp,flow_migration,restore,wl_tstamp,fi_tstamp,l0_rdtsc,dolma_tsc,crash_tstamp,base_save_start,base_save_end,INJ_REG,INJ_BIT,INJ_SLEEP,fi_tsc,fi_rip,fi_rbp,fi_rsp,fi_rax,fi_rbx,fi_rcx,fi_rdx,fi_r8,fi_r9,fi_r10,fi_r11,fi_r12,fi_r13,fi_r14,fi_r15,migr_totalPages,migr_super1Gb,migr_super2Mb,migr_p2m,migr_l0,migr_l1,migr_l2,migr_l3,PING_PATH_L2,PING_PATH_L1A,PING_PATH_L1B,PING_PATH_L0,SAR_LOG_PATH,CSV_PATH,detection_lat,real_fi_tstamp
1586833333784.0,129276.0,1586833922709.0,45313.0,345.0,58392.0,160.0,15.0,66.0,106.0,11217.0,108.0,11969.0,2097.0,1586833573610.0,1586833590470.0,31935501230798.0,1586833343929.0,1586833604925.0,1586833513212.0,1586833571604.0,1.0,49.0,16.856,32477663038820.0,FFFF82D08037925D,0,FFFF8300EF687EF8,0,FFFF8300EF7C3000,48,0,0,8000000326A2A001,0,0,0,0,0,0,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_11_192.168.66.103_1586833333784.csv,ping_11_192.168.66.101_1586833333784.csv,ping_11_192.168.66.102_1586833333784.csv,ping_11_192.168.66.3_1586833333784.csv,sar_11_1586833333784.bin,d11_1586833333784.csv,14455.0,247013.73798479635
1586833927740.0,137646.0,1586834485825.0,43047.0,391.0,56331.0,190.0,15.0,68.0,117.0,11672.0,123.0,12520.0,1836.0,1586834159387.0,1586834177783.0,33237573730042.0,1586833937179.0,1586834191878.0,1586834101051.0,1586834157382.0,1.0,9.0,18.391,33766533355126.0,FFFF82D080379410,0,FFFF8300EF687EF8,0,0,0,0,0,0,0,0,561829F38FE0,7FFE81270450,0,0,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_12_192.168.66.103_1586833927740.csv,ping_12_192.168.66.101_1586833927740.csv,ping_12_192.168.66.102_1586833927740.csv,ping_12_192.168.66.3_1586833927740.csv,sar_12_1586833927740.bin,d12_1586833927740.csv,14095.0,240998.70610903177
1586834490856.0,135551.0,1586835046707.0,45047.0,478.0,57609.0,141.0,14.0,66.0,110.0,12083.0,128.0,12854.0,1851.0,1586834726134.0,1586834742817.0,34474843808276.0,1586834500903.0,1586834757725.0,1586834666520.0,1586834724129.0,0.0,0.0,16.678,35007802755910.0,FFFF82D080327610,7F69350484F0,FFFF8300EF687F70,1,1,18,B4,7F6935048530,7FFD7BFC60B0,2F5F0,B600DED9F7600,7F6935048530,7F69350485A8,0,1C57800,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_13_192.168.66.103_1586834490856.csv,ping_13_192.168.66.101_1586834490856.csv,ping_13_192.168.66.102_1586834490856.csv,ping_13_192.168.66.3_1586834490856.csv,sar_13_1586834490856.bin,d13_1586834490856.csv,14908.0,242820.833005219
1586835051740.0,134774.0,1586835608006.0,44996.0,349.0,57183.0,145.0,15.0,67.0,109.0,11811.0,109.0,12563.0,2082.0,1586835288025.0,1586835317814.0,35705383415108.0,1586835061560.0,1586835331933.0,1586835228837.0,1586835286020.0,1.0,46.0,29.784,36268734312618.0,FFFF82D0802D7BCB,3FFFFFFFFFFFFDE7,FFFF8300EF687D30,E7,FFFF8300EF7C3000,0,0,FFFF82D0805BF520,3B7ED32866,FFFF830331500E80,FFFF82D0805BF500,0,FFFF8300EF7C3000,FFFF83033150F000,FFFF8300EF687EF8,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_14_192.168.66.103_1586835051740.csv,ping_14_192.168.66.101_1586835051740.csv,ping_14_192.168.66.102_1586835051740.csv,ping_14_192.168.66.3_1586835051740.csv,sar_14_1586835051740.bin,d14_1586835051740.csv,14119.0,256667.67546523362
1586835613038.0,137432.0,1586836173689.0,44029.0,349.0,57918.0,161.0,15.0,66.0,103.0,11331.0,117.0,12089.0,2098.0,1586835848032.0,1586835874058.0,36936874016444.0,1586835622651.0,1586835888433.0,1586835788108.0,1586835846026.0,1.0,39.0,26.021,37489925400738.0,FFFF82D080327610,BF26B,FFFF8300EF687F70,0,FFFF8CD10FC14800,20,FFFF99DB40006000,FFFF8CD1B7C20180,100000,0,0,0,FFFF8CD1B7C201B8,FFFF8CD1B7C201F8,FFFF8CD1B7C20238,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_15_192.168.66.103_1586835613038.csv,ping_15_192.168.66.101_1586835613038.csv,ping_15_192.168.66.102_1586835613038.csv,ping_15_192.168.66.3_1586835613038.csv,sar_15_1586835613038.bin,d15_1586835613038.csv,14375.0,251975.12571114852
1586836178722.0,134702.0,1586836746196.0,48113.0,531.0,55799.0,157.0,14.0,66.0,115.0,11870.0,130.0,12652.0,1864.0,1586836415624.0,1586836452805.0,38179832327146.0,1586836188966.0,1586836467146.0,1586836357819.0,1586836413618.0,0.0,39.0,37.177,38759787115872.0,FFFF82D080327610,0,FFFF8300EF687F70,86,2C89,0,2C88,0,0,0,0,86,0,0,0,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_16_192.168.66.103_1586836178722.csv,ping_16_192.168.66.101_1586836178722.csv,ping_16_192.168.66.102_1586836178722.csv,ping_16_192.168.66.3_1586836178722.csv,sar_16_1586836178722.bin,d16_1586836178722.csv,14341.0,264232.5558638003
1586836751229.0,141513.0,1586837332037.0,47005.0,367.0,56519.0,136.0,14.0,66.0,110.0,12136.0,93.0,12851.0,1893.0,1586836994597.0,1586837011644.0,39435868347410.0,1586836761241.0,1586837025758.0,1586836936072.0,1586836992591.0,1.0,21.0,17.043,39986407608558.0,FFFF82D08031F238,FFFF83033150F000,FFFF8300EF687D78,0,FFFF8300EF662000,C0000081,E023E008,8,3A26ACC84F,FFFF83032C114450,FFFF82D0805BF500,0,FFFF8300EF662000,FFFF8303240F5000,FFFF8300EF687EF8,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_17_192.168.66.103_1586836751229.csv,ping_17_192.168.66.101_1586836751229.csv,ping_17_192.168.66.102_1586836751229.csv,ping_17_192.168.66.3_1586836751229.csv,sar_17_1586836751229.bin,d17_1586836751229.csv,14114.0,250830.58008032385
1586837337068.0,139380.0,1586837907178.0,41046.0,382.0,54838.0,144.0,14.0,66.0,113.0,11920.0,219.0,12772.0,1817.0,1586837567146.0,1586837609394.0,40722120102568.0,1586837347282.0,1586837623730.0,1586837510302.0,1586837565140.0,0.0,42.0,42.244,41298264067424.0,FFFF82D080327610,2F73E30C0A,FFFF8300EF687F70,FFFFFFFFA382FC80,0,FFFF9A2077C20238,FFFF9A2077C201F8,0,0,0,0,FFFF9A2077C201B8,FFFF9A2077C2010C,FFFF9A2077C201F8,315FE,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_18_192.168.66.103_1586837337068.csv,ping_18_192.168.66.101_1586837337068.csv,ping_18_192.168.66.102_1586837337068.csv,ping_18_192.168.66.3_1586837337068.csv,sar_18_1586837337068.bin,d18_1586837337068.csv,14336.0,262496.310641429
1586837912210.0,133487.0,1586838486810.0,41896.0,364.0,57231.0,194.0,15.0,65.0,90.0,11210.0,99.0,11953.0,1856.0,1586838146344.0,1586838175066.0,41983954268048.0,1586837922197.0,1586838189651.0,1586838087108.0,1586838144339.0,1.0,50.0,28.717,42540250949848.0,FFFF82D08031CD6D,FFFF8303266E0000,FFFF8300EF687D78,FFFFFFFFB4200010,FFFF8300EF662000,C0000082,FFFFFFFF,2,3AC7DCC8D4,FFFF830331500E80,FFFF82D0805BF500,0,FFFF8300EF7C3000,FFFF83033150F000,3,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_19_192.168.66.103_1586837912210.csv,ping_19_192.168.66.101_1586837912210.csv,ping_19_192.168.66.102_1586837912210.csv,ping_19_192.168.66.3_1586837912210.csv,sar_19_1586837912210.bin,d19_1586837912210.csv,14585.0,253453.71209618816
1586838491840.0,129279.0,1586839055668.0,44046.0,314.0,55370.0,157.0,14.0,68.0,119.0,11529.0,127.0,12331.0,2125.0,1586838724552.0,1586838737402.0,43256195722682.0,1586838501855.0,1586838751586.0,1586838667176.0,1586838722546.0,1.0,29.0,12.846,43774142774084.0,FFFF82D08027D37C,FFFF83033150F000,FFFF8300EF687D78,8005003B,FFFF8300EF7C3000,0,0,8,36BA0D9F00,FFFF83032C114450,FFFF82D0805BF500,0,FFFF8300EF662000,FFFF8303266B6000,FFFF8300EF687EF8,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_20_192.168.66.103_1586838491840.csv,ping_20_192.168.66.101_1586838491840.csv,ping_20_192.168.66.102_1586838491840.csv,ping_20_192.168.66.3_1586838491840.csv,sar_20_1586838491840.bin,d20_1586838491840.csv,14184.0,235981.27966959245
1586839060699.0,135053.0,1586839637783.0,47122.0,250.0,58728.0,177.0,14.0,67.0,119.0,11855.0,158.0,12679.0,1875.0,1586839301660.0,1586839342566.0,44504403522406.0,1586839070562.0,1586839356671.0,1586839240927.0,1586839299655.0,0.0,57.0,40.901,45102281616850.0,FFFF82D0802416EC,0,FFFF8300EF687DC8,A,1,5,A,FFFF830331550F10,2,3F2D906789,0,FFFF82D0805BF680,96,FFFF82D0805BF680,FFFF82D0805AA520,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_21_192.168.66.103_1586839060699.csv,ping_21_192.168.66.101_1586839060699.csv,ping_21_192.168.66.102_1586839060699.csv,ping_21_192.168.66.3_1586839060699.csv,sar_21_1586839060699.bin,d21_1586839060699.csv,14105.0,272398.5732352559
1586839642815.0,133076.0,1586840228649.0,44988.0,341.0,56609.0,160.0,15.0,66.0,113.0,11315.0,108.0,12060.0,1864.0,1586839878717.0,1586839909885.0,45782058931946.0,1586839652686.0,1586839924223.0,1586839820103.0,1586839876712.0,0.0,0.0,31.163,46347771043910.0,FFFF82D0802AC99E,FFFFFFFF82003DE8,FFFF8300EF687DE0,FFFF7FFF82003DE8,10,0,10,3F977157,FFFFFFFF820084B8,0,0,FFFF83033150F000,0,FFFFFFFFFFFFFFEA,FFFFFFFF820084B8,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_22_192.168.66.103_1586839642815.csv,ping_22_192.168.66.101_1586839642815.csv,ping_22_192.168.66.102_1586839642815.csv,ping_22_192.168.66.3_1586839642815.csv,sar_22_1586839642815.bin,d22_1586839642815.csv,14338.0,257743.46575484143
1586840233681.0,139358.0,1586840791640.0,47979.0,353.0,55815.0,145.0,15.0,66.0,111.0,11365.0,149.0,12144.0,2101.0,1586840473423.0,1586840485897.0,47080254448832.0,1586840244169.0,1586840500038.0,1586840415603.0,1586840471418.0,1.0,5.0,12.469,47611785151486.0,FFFF82D08031F269,FFFF83033150F000,FFFF8300EF687D78,74700,FFFF8300EF662000,C0000084,0,8,382B85C5C2,FFFF83032C114450,FFFF82D0805BF500,0,FFFF8300EF662000,FFFF8303220D9000,FFFF8300EF687EF8,769592.0,0.0,0.0,1515.0,1.0,1.0,4.0,1509.0,ping_23_192.168.66.103_1586840233681.csv,ping_23_192.168.66.101_1586840233681.csv,ping_23_192.168.66.102_1586840233681.csv,ping_23_192.168.66.3_1586840233681.csv,sar_23_1586840233681.bin,d23_1586840233681.csv,14141.0,242170.11189936512
